episode_id,label,n_events,n_entities,entity_ids,start,end,span_days,note
id-015,insider_drift,20,1,usr-0210,2026-05-08 12:01:30,2026-05-15 12:38:53,7.026,"usr-0210 gradually adopts db/analytics/sessions, warehouse/exports, db/prod/transactions over 13 days, then keeps them permanently"
id-016,insider_drift,8,1,usr-0203,2026-05-11 11:09:27,2026-05-22 09:37:18,10.936,"usr-0203 gradually adopts warehouse/exports, legal/contracts, hr/payroll, hr/records over 14 days, then keeps them permanently"
id-017,insider_drift,11,1,usr-0297,2026-05-09 13:18:45,2026-05-18 01:22:46,8.503,"usr-0297 gradually adopts infra/k8s/staging, eng/repo/edge-firmware, db/prod/transactions over 16 days, then keeps them permanently"
id-018,insider_drift,10,1,usr-0189,2026-05-12 08:38:14,2026-05-23 09:58:27,11.056,"usr-0189 gradually adopts db/prod/telemetry, db/prod/customers over 16 days, then keeps them permanently"
id-019,insider_drift,20,1,usr-0065,2026-05-03 10:31:05,2026-05-15 12:16:38,12.073,"usr-0065 gradually adopts corp/wiki, infra/monitoring, finance/invoices, infra/vault/secrets over 16 days, then keeps them permanently"
id-020,insider_drift,18,1,usr-0177,2026-05-11 11:41:39,2026-05-26 14:17:20,15.108,"usr-0177 gradually adopts eng/repo/platform-core, eng/ci/build-runner, eng/artifacts/releases, finance/invoices, db/prod/telemetry over 18 days, then keeps them permanently"
id-021,insider_drift,23,1,usr-0217,2026-05-05 16:18:41,2026-05-20 11:14:55,14.789,"usr-0217 gradually adopts eng/artifacts/releases, db/analytics/sessions, iot/telemetry/ingest, iot/fleet/registry, ot/scada/hmi over 18 days, then keeps them permanently"
id-022,insider_drift,22,1,usr-0004,2026-05-11 05:00:25,2026-05-24 10:50:03,13.243,"usr-0004 gradually adopts infra/monitoring, vpn/gateway, db/analytics/sessions, warehouse/exports, infra/vault/secrets over 17 days, then keeps them permanently"
id-023,insider_drift,5,1,usr-0021,2026-05-15 12:18:51,2026-05-23 15:54:25,8.15,"usr-0021 gradually adopts infra/monitoring, iot/telemetry/ingest, db/prod/customers over 15 days, then keeps them permanently"
id-024,insider_drift,11,1,usr-0109,2026-05-14 05:34:38,2026-05-20 21:28:12,6.662,"usr-0109 gradually adopts db/analytics/events, eng/repo/edge-firmware over 13 days, then keeps them permanently"
id-025,insider_drift,19,1,usr-0160,2026-05-06 09:29:37,2026-05-20 15:01:44,14.231,"usr-0160 gradually adopts eng/ci/build-runner, ot/historian, iot/fleet/registry, eng/repo/edge-firmware, db/prod/transactions over 18 days, then keeps them permanently"
